"author","title","journal","year","doi_link","article.type"
"Chu L","Adherence to Gender Affirming Hormone Therapy in Transgender Adolescents and Adults: A Retrospective Cohort Study","The Journal of Clinical Endocrinology & Metabolism",2023,"academic.oup.com/jcem/advance-article/doi/10.1210/clinem/dgad306/7184149","Data Analysis"
"Chan Y M","Psychosocial functioning in transgender youth after 2 years of hormones","New England Journal of Medicine",2023,"http://www.nejm.org/doi/10.1056/NEJMoa2206297","Data Analysis"
"Daga A","The effect of gender-affirming hormone treatment on serum creatinine in transgender and gender-diverse youth: implications for estimating GFR","Pediatric Nephrology",2022,"link.springer.com/article/10.1007/s00467-022-05445-0","Data Analysis"
"Adirim T A","Continuation of Gender-affirming Hormones Among Transgender Adolescents and Adults","The Journal of Clinical Endocrinology & Metabolism",2022,"academic.oup.com/jcem/advance-article/doi/10.1210/clinem/dgac251/6572526","Data Analysis"
"Zhang Q","Is There a Link Between Hormone Use and Diabetes Incidence in Transgender People? Data from the STRONG Cohort","The Journal of Clinical Endocrinology & Metabolism",2021,"academic.oup.com/jcem/article/107/4/e1549/6429721","Data Analysis"
"Cantor J M","Timing of peripubertal steroid exposure predicts visuospatial cognition in men: Evidence from three samples","Hormones and Behavior",2020,"linkinghub.elsevier.com/retrieve/pii/S0018506X20300386","Data Analysis"
"Työläjärvi M","Adolescent development and psychosocial functioning after starting cross-sex hormones for gender dysphoria","Nordic Journal of Psychiatry",2020,"www.tandfonline.com/doi/full/10.1080/08039488.2019.1691260","Data Analysis"
"De Maertelaere A S","Effects of Gender-Affirming Hormone Therapy on Insulin Sensitivity and Incretin Responses in Transgender People","Diabetes Care",2020,"diabetesjournals.org/care/article/43/2/411/36004/Effects-of-Gender-Affirming-Hormone-Therapy-on","Data Analysis"
"Vink P","Bone Mineral Density in Transgender Individuals After Gonadectomy and Long-Term Gender-Affirming Hormonal Treatment","The Journal of Sexual Medicine",2019,"linkinghub.elsevier.com/retrieve/pii/S174360951931238X","Data Analysis"
"Hannema S E","Physical changes, laboratory parameters, and bone mineral density during testosterone treatment in adolescents with gender dysphoria","The Journal of Sexual Medicine",2019,"www.sciencedirect.com/science/article/abs/pii/S1743609519312731","Data Analysis"
"de Blok C J M","Occurrence of Acute Cardiovascular Events in Transgender Individuals Receiving Hormone Therapy: Results From a Large Cohort Study","Circulation",2019,"www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.118.038584","Data Analysis"
"Flanders W D","Cross-sex Hormones and Acute Cardiovascular Events in Transgender Persons","Annals of internal medicine",2018,"www.ncbi.nlm.nih.gov/pmc/articles/PMC6636681/","Data Analysis"
"de Blok C J M","The occurrence of benign brain tumours in transgender individuals during cross-sex hormone treatment","Brain",2018,"academic.oup.com/brain/article/141/7/2047/4983052","Data Analysis"
"Clark L F","Physiologic Response to Gender-Affirming Hormones Among Transgender Youth","Journal of Adolescent Health",2018,"linkinghub.elsevier.com/retrieve/pii/S1054139X17304123","Data Analysis"
"Kaufmann U","Effects of testosterone treatment on hypothalamic neuroplasticity in female-to-male transgender individuals","Brain Structure & Function",2018,"link.springer.com/article/10.1007/s00429-017-1494-z","Data Analysis"
"Hermans E J","Testosterone reduces functional connectivity during the ‘Reading the Mind in the Eyes’ Test","Psychoneuroendocrinology",2016,"pmc.ncbi.nlm.nih.gov/articles/PMC6345363/","Data Analysis"
"Bothwell L G","Risk of Suicide and Self-Harm Following Gender-Affirmation Surgery","Cureus",2024,"www.cureus.com/articles/201512-risk-of-suicide-and-self-harm-following-gender-affirmation-surgery","Data Analysis"
"Hernandez A E","Major complications of sigmoid vaginoplasty: a case series","Journal of Surgical Case Reports",2023,"academic.oup.com/jscr/article/doi/10.1093/jscr/rjad333/7195771","Data Analysis"
"Lem M","Non-typhoidal Salmonella soft-tissue infection after gender affirming subcutaneous mastectomy case report","Case Reports in Plastic Surgery & Hand Surgery",2023,"www.tandfonline.com/doi/10.1080/23320885.2023.2185621","Case Study"
"Boskey E R","Mastectomy in Transgender and Cisgender Patients: A Comparative Analysis of Epidemiology and Postoperative Outcomes","Plastic and Reconstructive Surgery - Global Open",2019,"journals.lww.com/01720096-201906000-00007","Data Analysis"
"Anzai L","Masculinizing Top Surgery: A Systematic Review of Techniques and Outcomes","Annals of Plastic Surgery",2018,"journals.lww.com/annalsplasticsurgery/abstract/2018/06000/masculinizing_top_surgery__a_systematic_review_of.18.aspx","Data Analysis"
"Okonta V","Chest Reconstruction and Chest Dysphoria in Transmasculine Minors and Young Adults: Comparisons of Nonsurgical and Postsurgical Cohorts","JAMA Pediatrics",2018,"http://archpedi.jamanetwork.com/article.aspx?doi=10.1001/jamapediatrics.2017.5440","Data Analysis"
"Wright L N","Quality of life improvement after chest wall masculinization in female-to-male transgender patients: A prospective study using the BREAST-Q and Body Uneasiness Test","Journal of Plastic, Reconstructive & Aesthetic Surgery",2018,"www.researchgate.net/publication/394441514_Improvement_in_Quality_of_Life_in_Transmasculine_Individuals_After_Chest_Masculinization_Surgery","Review"
"Elfering L","Body Image in Transmen: Multidimensional Measurement and the Effects of Mastectomy","The Journal of Sexual Medicine",2016,"www.sciencedirect.com/science/article/pii/S1743609516304052?via%3Dihub","Data Analysis"
"Arver S","An Analysis of All Applications for Sex Reassignment Surgery in Sweden, 1960–2010: Prevalence, Incidence, and Regrets","Archives of Sexual Behavior",2014,"http://link.springer.com/10.1007/s10508-014-0300-8","Data Analysis"
"CohenKettenis P T","Adolescents With Gender Identity Disorder Who Were Accepted or Rejected for Sex Reassignment Surgery: A Prospective Follow-up Study","Journal of the American Academy of Child & Adolescent Psychiatry",2001,"linkinghub.elsevier.com/retrieve/pii/S089085670960397X","Data Analysis"
"Morel Journel N","Urethral complications after gender-affirming genital surgery: prevention and reconstructive management","Current Opinion in Urology",2026,"journals.lww.com/co-urology/abstract/9900/urethral_complications_after_gender_affirming.333.aspx","Review"
"Roblee C V","Patient-Reported Outcomes and Body Mass Index in Adolescents and Young Adults After Gender-Affirming Chest Surgery: A Single-Center Cross-Sectional Study","Annals of Surgery Open",2026,"journals.lww.com/aosopen/fulltext/2026/06000/patient_reported_outcomes_and_body_mass_index_in.28.aspx","Data Analysis"
"Van Offel S","Bone health in gender-diverse individuals: current challenges and future directions","Hormones",2026,"doi.org/10.1007/s42000-026-00793-0","Review"
"Klink D T","Bone Mineral Density in Transgender Adolescents Treated With Puberty Suppression and Subsequent Gender-Affirming Hormones","JAMA Pediatrics",2023,"jamanetwork.com/journals/jamapediatrics/fullarticle/2811155","Data Analysis"
"Cools M","Impact of gender-affirming treatment on bone health in transgender and gender diverse youth","Endocrine Connections",2022,"ec.bioscientifica.com/view/journals/ec/11/11/EC-22-0280.xml","Review"
"Ecklund K","Changes in Bone Marrow Adipose Tissue in Transgender and Gender Non-Conforming Youth Undergoing Pubertal Suppression: A Pilot Study","Journal of Clinical Densitometry",2022,"linkinghub.elsevier.com/retrieve/pii/S1094695022000713","Data Analysis"
"OlsonKennedy J","Low Bone Mineral Density in Early Pubertal Transgender/Gender Diverse Youth: Findings From the Trans Youth Care Study","Journal of the Endocrine Society",2020,"academic.oup.com/jes/article/doi/10.1210/jendso/bvaa065/5866143","Data Analysis"
"Butler G","The effect of GnRH analogue treatment on bone mineral density in young adolescents with gender dysphoria: findings from a large national cohort","Journal of Pediatric Endocrinology and Metabolism",2019,"http://www.degruyter.com/view/j/jpem.2019.32.issue-10/jpem-2019-0046/jpem-2019-0046.xml","Data Analysis"
"Hawthorn R","The ovaries of transgender men indicate effects of high dose testosterone on the primordial and early growing follicle pool","Reproduction and Fertility",2023,"raf.bioscientifica.com/view/journals/raf/4/2/RAF-22-0102.xml","Data Analysis"
"Huirne J","Desire for children and fertility preservation in transgender and gender-diverse people: A systematic review","Best Practice & Research Clinical Obstetrics & Gynaecology",2023,"linkinghub.elsevier.com/retrieve/pii/S1521693423000019","Review"
"Chung H E","Rates of Fertility Preservation Use Among Transgender Adolescents","JAMA Pediatrics",2020,"jamanetwork.com/journals/jamapediatrics/fullarticle/2764075","Data Analysis"
"Bour S","How do elevated levels of testosterone affect the function of the human fallopian tube and fertility?—New insights","Molecular Reproduction and Development",2020,"onlinelibrary.wiley.com/doi/abs/10.1002/mrd.23291","Data Analysis"
"Yee S","Fertility preservation for transgender adolescents and young adults: a systematic review","Human Reproduction Update",2019,"academic.oup.com/humupd/article/25/6/694/5601536","Data Analysis"
"Pang S","Assisted reproductive technology outcomes in female-to-male transgender patients compared with cisgender patients: a new frontier in reproductive medicine","Fertility and Sterility",2019,"www.fertstert.org/article/S0015-0282(19)30619-3/fulltext","Data Analysis"
"Myers J B","Fertility concerns of the transgender patient","Translational Andrology and Urology",2019,"http://tau.amegroups.com/article/view/26091/24253","Review"
"Schirmer D A","Fertility preservation options in transgender people: A review","Reviews in Endocrine and Metabolic Disorders",2018,"http://link.springer.com/10.1007/s11154-018-9462-3","Review"
"Pusica S","Gender Dysphoria: Bioethical Aspects of Medical Treatment","BioMed Research International",2018,"www.hindawi.com/journals/bmri/2018/9652305/","Review"
"Caltabellotta N M","Low Fertility Preservation Utilization Among Transgender Youth","The Journal of Adolescent Health: Official Publication of the Society for Adolescent Medicine",2017,"www.jahonline.org/article/S1054-139X(16)30958-2/fulltext","Data Analysis"
"Murphy T E","Fertility preservation in transgender youth from initial counseling through preservation procedures: A retrospective cross-sectional study","Journal of Pediatric and Adolescent Gynecology",2026,"www.jpagonline.org/article/S1083-3188(26)00005-7/abstract","Data Analysis"
"Raffo M","Semen Quality in Transgender Individuals Seeking Fertility Preservation","Andrology",2026,"onlinelibrary.wiley.com/doi/abs/10.1111/andr.70268","Data Analysis"
"Kreukels B P C","Appraisal of Sexual Life Among Midlife and Older Transgender People in The Netherlands Receiving Long-Term Gender-Affirming Medical Care","Journal of Sex & Marital Therapy",2026,"doi.org/10.1080/0092623X.2026.2662324","Data Analysis"
"Freton L","Sexuality and erectile function in transgender women prior to gender-affirming surgery: a descriptive study","The Journal of Sexual Medicine",2026,"doi.org/10.1093/jsxmed/qdag125","Data Analysis"
"Chen B","Testosterone use and sexual function among transgender men and gender diverse people assigned female at birth","American Journal of Obstetrics and Gynecology",2023,"linkinghub.elsevier.com/retrieve/pii/S0002937823006051","Data Analysis"
"Dones A","Changes in cardiometabolic risk factors in transmasculine individuals over 10 years of Gender-Affirming Hormone Therapy","Journal of Endocrinological Investigation",2026,"doi.org/10.1007/s40618-026-02906-3","Data Analysis"
"Balkau B","Testosterone therapy and the risk of atrial fibrillation, venous thromboembolism and cardiovascular events in cis men with hypogonadism and trans men","European Journal of Endocrinology",2025,"doi.org/10.1093/ejendo/lvaf183","Data Analysis"
"Moreau K L","Body Composition and Markers of Cardiometabolic Health in Transgender Youth on Gonadotropin-Releasing Hormone Agonists","Transgender Health",2021,"www.liebertpub.com/doi/10.1089/trgh.2020.0029","Data Analysis"
"Ryan A","Cardiovascular Disease Risk Factors and Myocardial Infarction in the Transgender Population","Circulation: Cardiovascular Quality and Outcomes",2019,"www.ahajournals.org/doi/10.1161/CIRCOUTCOMES.119.005597","Data Analysis"
"Talarico A","Transgender Vascular Health: Interactions Between Gender Identity, Hormone Therapy, and Vascular Disease Risk","Journal of Vascular Diseases",2026,"www.mdpi.com/2813-2475/5/3/23","Review"
"Batchelder H R","Venous Thromboembolism in Transgender and Gender Diverse Individuals on Estrogen-Based Gender-Affirming Hormone Therapy","Journal of Clinical Medicine",2026,"www.mdpi.com/2077-0383/15/11/4166","Data Analysis"
"Holttinen T","Psychiatric Morbidity Among Adolescents and Young Adults Who Contacted Specialised Gender Identity Services in Finland in 1996–2019: A Register Study","Acta Paediatrica",2026,"onlinelibrary.wiley.com/doi/10.1111/apa.70533","Data Analysis"
"Ward D H","Fluidity in Reporting Gender Identity Labels in a Sample of Transgender and Gender Diverse Adolescents and Young Adults, Los Angeles, California, and New Orleans, Louisiana, 2017-2019","Public Health Reports",2024,"http://journals.sagepub.com/doi/10.1177/00333549231223922","Data Analysis"
"Biggs M","The U.S. Transgender Survey of 2015 Supports Rapid-Onset Gender Dysphoria: Revisiting the “Age of Realization and Disclosure of Gender Identity Among Transgender Adults.”","Archives of Sexual Behavior",2023,"link.springer.com/10.1007/s10508-023-02754-9","Editorial"
"Metsutnan V","The mean age of gender dysphoria diagnosis is decreasing","General Psychiatry",2023,"onlinelibrary.wiley.com/doi/10.1136/gpsych-2022-100972","Data Analysis"
"Chudleigh C","Australian children and adolescents with gender dysphoria: Clinical presentations and challenges experienced by a multidisciplinary team and gender service","Human Systems",2021,"journals.sagepub.com/doi/10.1177/26344041211010777","Data Analysis"
"McClure G","Attachment Patterns in Children and Adolescents With Gender Dysphoria","Frontiers in Psychology",2021,"www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2020.582688/full","Data Analysis"
"Zucker K J","A Follow-Up Study of Boys With Gender Identity Disorder","Frontiers in Psychiatry",2021,"www.frontiersin.org/articles/10.3389/fpsyt.2021.632784/full","Data Analysis"
"McCartney M","Gender incongruence in children, adolescents, and adults","British Journal of General Practice",2019,"http://bjgp.org/lookup/doi/10.3399/bjgp19X701909","Editorial"
"Steensma T D","Evidence for a Change in the Sex Ratio of Children Referred for Gender Dysphoria: Data From the Gender Identity Development Service in London (2000–2017)","The Journal of Sexual Medicine",2018,"linkinghub.elsevier.com/retrieve/pii/S174360951831107X","Data Analysis"
"Zitz C","Sex Ratio in Children and Adolescents Referred to the Gender Identity Development Service in the UK (2009–2016)","Archives of Sexual Behavior",2018,"http://link.springer.com/10.1007/s10508-018-1204-9","Editorial"
"Fahrenkrug S","Ten years of a gender identity service for children and adolescents in Germany: demographic and clinical patterns","European Child & Adolescent Psychiatry",2026,"link.springer.com/10.1007/s00787-026-03080-w","Data Analysis"
"Steensma T D","Characteristics of Dutch Gender Clinic-Referred Adolescents Who Did Not Pursue Gender-Affirming Medical Treatment","Journal of Sex & Marital Therapy",2026,"www.tandfonline.com/doi/full/10.1080/0092623X.2026.2641805","Data Analysis"
"Van Schuylenbergh J","The evolution of pediatric transgender healthcare in Flanders: Trends in referrals, intakes and gender-affirming interventions over the last 15 years","International Journal of Transgender Health",2026,"doi.org/10.1080/26895269.2025.2452996","Data Analysis"
"Gander M","Gender dysphoria in adolescence: examining the rapid-onset hypothesis","neuropsychiatrie",2024,"link.springer.com/10.1007/s40211-024-00500-8","Review"
"Haslam D M","Prevalence of Diverse Genders and Sexualities in Australia and Associations With Five Forms of Child Maltreatment and Multi-type Maltreatment","Child Maltreatment",2024,"http://journals.sagepub.com/doi/10.1177/10775595231226331","Data Analysis"
"Kerschner H","Detransition and Desistance Among Previously Trans-Identified Young Adults","Archives of Sexual Behavior",2023,"link.springer.com/10.1007/s10508-023-02716-1","Data Analysis"
"Enxuga G","Exploring the gender care experiences and perspectives of individuals who discontinued their transition or detransitioned in Canada","PLOS ONE",2023,"dx.plos.org/10.1371/journal.pone.0293868","Data Analysis"
"Cognet A","De la transidentité à la transidentification. Déclenchement rapide de la « dysphorie de genre » chez des adolescents confrontés au malaise pubertaire","L'Évolution Psychiatrique",2023,"linkinghub.elsevier.com/retrieve/pii/S0014385523000312","Data Analysis"
"Bewley S","Care of Transgender Patients: A General Practice Quality Improvement Approach","Healthcare",2022,"www.mdpi.com/2227-9032/10/1/121","Data Analysis"
"Sachdeva J","Access to care and frequency of detransition among a cohort discharged by a UK national adult gender identity clinic: retrospective case-note review","BJPsych Open",2021,"www.cambridge.org/core/product/identifier/S205647242101022X/type/journal_article","Data Analysis"
"Popma A","Re-evaluation of the Dutch approach: are recently referred transgender youth different compared to earlier referrals?","European Child & Adolescent Psychiatry",2020,"http://link.springer.com/10.1007/s00787-019-01394-6","Data Analysis"
"Spiliadis A","In Support of Research Into Rapid-Onset Gender Dysphoria","Archives of Sexual Behavior",2020,"http://link.springer.com/10.1007/s10508-019-01517-9","Editorial"
"Työläjärvi M","Gender dysphoria in adolescence: current perspectives","Adolescent Health, Medicine and Therapeutics",2018,"www.dovepress.com/gender-dysphoria-in-adolescence-current-perspectives-peer-reviewed-article-AHMT","Review"
"Työläjärvi M","Two years of gender identity service for minors: overrepresentation of natal girls with severe problems in adolescent development","Child and Adolescent Psychiatry and Mental Health",2015,"http://www.capmh.com/content/9/1/9","Data Analysis"
"Blanchard R","Evidence for an Altered Sex Ratio in Clinic‐Referred Adolescents with Gender Dysphoria","The Journal of Sexual Medicine",2015,"www.researchgate.net/publication/271221293_Evidence_for_an_Altered_Sex_Ratio_in_Clinic-Referred_Adolescents_with_Gender_Dysphoria","Data Analysis"
"Hines M","Childhood gender-typed behavior and adolescent sexual orientation: A longitudinal population-based study","Developmental Psychology",2017,"psycnet.apa.org/doiLanding?doi=10.1037%2Fdev0000281","Data Analysis"
"PérezFernández J I","Sociodemographic and Mental Health Characteristics of Adults with Different Gender Trajectories","Archives of Sexual Behavior",2026,"doi.org/10.1007/s10508-026-03475-5","Data Analysis"
"Pacaud D","Stability of Transgender Identity in Adolescents Seen in Multidisciplinary Specialized Gender Centers: A Multicenter Study in Canada","Journal of Adolescent Health",2026,"www.sciencedirect.com/science/article/pii/S1054139X26001175","Data Analysis"
"den Heijer M","Psychological and physical effects of short-term discontinuation of feminizing gender-affirming hormone therapy among older transgender women: a within-subject clinical trial","Human Reproduction",2026,"doi.org/10.1093/humrep/deag087","Data Analysis"
"Te Brinke L W","Is gender truly stable? Longitudinal changes in gender identity in a Dutch community sample","European Journal of Developmental Psychology",2026,"www.tandfonline.com/doi/full/10.1080/17405629.2026.2659027","Data Analysis"
"Khan N K","Gender fluidity and detransition: Results of a cross-sectional online survey of sexual and gender minorities living in the US and Canada","The Journal of LGBTQ+ Mental Health",2026,"doi.org/10.1080/30678935.2026.2653130","Data Analysis"
"Sakaluk J","“Desistance”: A multimethod review of the literature on gender identity variability in transgender and gender diverse youth","Psychology of Sexual Orientation and Gender Diversity",2026,"psycnet.apa.org/record/2027-49819-001","Review"
"Mattila A","Gender dysphoria and personality disorders: associations with proceeding to and discontinuing medical gender reassignment","Nordic Journal of Psychiatry",2025,"www.tandfonline.com/doi/full/10.1080/08039488.2025.2558931","Data Analysis"
"Salaberria K","A qualitative metasummary of detransition experiences with recommendations for psychological support","International Journal of Clinical and Health Psychology",2024,"linkinghub.elsevier.com/retrieve/pii/S1697260024000322","Data Analysis"
"Gould W A","A typology of pathways to detransition: Considerations for care practice with transgender and gender diverse people who stop or reverse their gender transition.","Psychology of Sexual Orientation and Gender Diversity",2023,"MacKinnon, K. R., Kia, H., Gould, W. A., Ross, L. E., Abramovich, A., Enxuga, G., Lam, J. S. H.
(2023)
  A typology of pathways to detransition: Considerations for care practice with transgender and gender diverse people who stop or reverse their gender transition..
    Psychology of Sexual Orientation and Gender Diversity,
          http://doi.apa.org/getdoi.cfm?doi=10.1037/sgd0000678","Review"
"Maguire A M","Developmental Pathway Choices of Young People Presenting to a Gender Service with Gender Distress: A Prospective Follow-Up Study","Children",2023,"www.mdpi.com/2227-9067/10/2/314","Data Analysis"
"Dahlen H G","Breastfeeding grief after chest masculinisation mastectomy and detransition: A case report with lessons about unanticipated harm","Frontiers in Global Women's Health",2023,"www.frontiersin.org/articles/10.3389/fgwh.2023.1073053/full","Case Study"
"PérezFernández J I","Gender detransition: A critical review of the literature","Actas Esp Psiquiatr",2023,"actaspsiquiatria.es/index.php/actas/article/view/36","Review"
"Salway T","Health Care Experiences of Patients Discontinuing or Reversing Prior Gender-Affirming Treatments","JAMA Network Open",2022,"jamanetwork.com/journals/jamanetworkopen/fullarticle/2794543","Data Analysis"
"Almazan A N","Factors Leading to “Detransition” Among Transgender and Gender Diverse People in the United States: A Mixed-Methods Analysis","LGBT Health",2021,"pmc.ncbi.nlm.nih.gov/articles/PMC8213007/","Data Analysis"
"Gomes Porras M","Transsexuality: Transitions, detransitions, and regrets in Spain","Endocrinología, Diabetes y Nutrición (English ed.)",2020,"linkinghub.elsevier.com/retrieve/pii/S2530018020301360","Data Analysis"
"de Blok C J M","The Amsterdam Cohort of Gender Dysphoria Study (1972–2015): Trends in Prevalence, Treatment, and Regrets","The Journal of Sexual Medicine",2018,"linkinghub.elsevier.com/retrieve/pii/S1743609518300572","Data Analysis"
"Quintos J B","Severe Hyperandrogenism Secondary to Polycystic Ovarian Syndrome in a Gender-diverse Adolescent","JCEM Case Reports",2025,"pmc.ncbi.nlm.nih.gov/articles/PMC12418000/","Case Study"
"Connelly K","Anticipatory Guidance for Discontinuation of Gender-Affirming Hormonal Care in Adolescent Patients","The Journal of Pediatrics",2026,"linkinghub.elsevier.com/retrieve/pii/S0022347626001733","Editorial"
"Patten S","Suicide attempts, self-harm and suicidal ideation among Norwegian university students with eating disorders and disordered eating: the SHoT study 2018 and 2022","BMC Psychiatry",2026,"doi.org/10.1186/s12888-026-08229-0","Data Analysis"
"Fournier J C","Concerns Regarding Data Modelling and Interpretation in Ruuska et al.","Acta Paediatrica",2026,"onlinelibrary.wiley.com/doi/10.1111/apa.70617","Editorial"
"Holttinen T","Response to the Critique by Edmiston et al., Banos et al. and Sandri et al. of Ruuska et al.","Acta Paediatrica",2026,"onlinelibrary.wiley.com/doi/10.1111/apa.70618","Editorial"
"Bresciani G","Psychiatric Contacts Are Not Outcomes: Interpreting Evidence in Gender‐Referred Youth","Acta Paediatrica",2026,"onlinelibrary.wiley.com/doi/10.1111/apa.70619","Editorial"
"Ravine A","Letter of Concern About Ruuska et al. From 4 April 2026","Acta Paediatrica",2026,"onlinelibrary.wiley.com/doi/10.1111/apa.70620","Editorial"
"Pate V","Trajectories of antidepressant dispensing among privately insured transgender people in the United States","Scientific Reports",2026,"www.nature.com/articles/s41598-026-51351-y","Data Analysis"
"Kerr K F","Methodological considerations for evaluating policy impacts on transgender and non-binary youth suicidality","Nature Human Behaviour",2026,"www.nature.com/articles/s41562-026-02467-8","Editorial"
"Hobaica S","Reply to: Methodological considerations for evaluating policy impacts on transgender and non-binary youth suicidality","Nature Human Behaviour",2026,"www.nature.com/articles/s41562-026-02478-5","Editorial"
"Spagnolo J","Correlates of body dissatisfaction and eating disorder symptoms in transgender and gender diverse populations: A systematic review","Body Image",2026,"www.sciencedirect.com/science/article/pii/S1740144525001809","Data Analysis"
"Mortillaro G","Short Research Article: Autism spectrum disorder and gender dysphoria among adolescents in a large, integrated health system","Child and Adolescent Mental Health",2026,"acamh.onlinelibrary.wiley.com/doi/10.1111/camh.70042","Data Analysis"
"Kraav S L","Depression and anxiety among transgender-identifying adolescents in psychiatric outpatient care","International Journal of Adolescent Medicine and Health",2025,"www.degruyterbrill.com/document/doi/10.1515/ijamh-2025-0104/html","Data Analysis"
"Hobaica S","State-level anti-transgender laws increase past-year suicide attempts among transgender and non-binary young people in the USA","Nature Human Behaviour",2024,"www.nature.com/articles/s41562-024-01979-5","Data Analysis"
"Iyra P","Screen use in transgender and gender-questioning adolescents: Findings from the Adolescent Brain Cognitive Development (ABCD) Study","Annals of epidemiology",2024,"www.sciencedirect.com/science/article/pii/S1047279724000632?via%3Dihub","Data Analysis"
"Niemi R","Transmission of Mental Disorders in Adolescent Peer Networks","JAMA Psychiatry",2024,"jamanetwork.com/journals/jamapsychiatry/fullarticle/2818735","Data Analysis"
"Dalgleish T","Mechanisms linking social media use to adolescent mental health vulnerability","Nature Reviews Psychology",2024,"www.nature.com/articles/s44159-024-00307-y","Review"
"Soleimanpour S","Mental Health Needs, Barriers, and Receipt of Care Among Transgender and Nonbinary Adolescents","Journal of Adolescent Health",2024,"linkinghub.elsevier.com/retrieve/pii/S1054139X24001654","Data Analysis"
"Volk J","A Pilot Study on the Effect of Peer Support on Quality of Life of Adolescents with Autism Spectrum Disorder and Gender Dysphoria","Journal of Autism and Developmental Disorders",2024,"link.springer.com/10.1007/s10803-022-05832-4","Data Analysis"
"Holttinen T","All-cause and suicide mortalities among adolescents and young adults who contacted specialised gender identity services in Finland in 1996–2019: a register study","BMJ Mental Health",2024,"mentalhealth.bmj.com/lookup/doi/10.1136/bmjment-2023-300940","Data Analysis"
"Tuisku K","Have the psychiatric needs of people seeking gender reassignment changed as their numbers increase? A register study in Finland","European Psychiatry",2023,"www.cambridge.org/core/product/identifier/S0924933823024719/type/journal_article","Data Analysis"
"Kronström K","The nature of co-morbid psychopathology in adolescents with gender dysphoria","Psychiatry Research",2022,"linkinghub.elsevier.com/retrieve/pii/S0165178122004875","Data Analysis"
"Sintonen H","Experimental treatment of gender dysphoria in patients with non-binary gender identities: A retrospective register study and quality control","Psychiatria Fennica",2019,"www.psykiatriantutkimussaatio.fi/wp-content/uploads/2021/05/Psychiatria_Fennica-2019_Kettula-et-al..pdf","Data Analysis"
"Hansen B H","Gender-affirming health care needs, barriers to care, and health and wellbeing in a broad nationwide sample of transgender people in Norway","BMC Public Health",2025,"pmc.ncbi.nlm.nih.gov/articles/PMC12681104/","Data Analysis"
"Vickerstaff V","Baseline findings from the Longitudinal Outcomes of Gender Identity in Children (LOGIC) study","The British Journal of Psychiatry",2025,"www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/baseline-findings-from-the-longitudinal-outcomes-of-gender-identity-in-children-logic-study/29C43BF6360C11D9977362F805AF0311","Data Analysis"
"Holi M","Early-onset trans-sensitive therapy as part of gender dysphoria care–a pilot randomized controlled trial","Nordic Journal of Psychiatry",2025,"doi.org/10.1080/08039488.2025.2589850","Data Analysis"
"Clarke P","Formulation concepts in the care of children and adolescents identifying as transgender or gender diverse","Australasian Psychiatry",2025,"doi.org/10.1177/10398562251362739","Review"
"Simpson S","Demonstrating Attachment‐Based Family Therapy for Transgender and Gender Diverse Youth with Suicidal Thoughts and Behavior: A Case Study","Family process",2022,"onlinelibrary.wiley.com/doi/10.1111/famp.12677","Case Study"
"Ayad S","One Size Does Not Fit All: In Support of Psychotherapy for Gender Dysphoria","Archives of Sexual Behavior",2020,"http://link.springer.com/10.1007/s10508-020-01844-2","Editorial"
"Houk C P","Global Disorders of Sex Development Update since 2006: Perceptions, Approach and Care","Hormone Research in Paediatrics",2016,"www.karger.com/Article/FullText/442975","Review"
"Ahmed S F","Consensus Statement on Management of Intersex Disorders","Pediatrics",2006,"http://pediatrics.aappublications.org/cgi/doi/10.1542/peds.2006-0738","Position Statement"
"Jern P","Genetic and Environmental Influences on Sexual Orientation: Moderation by Childhood Gender Nonconformity and Early-Life Adversity","Archives of Sexual Behavior",2024,"link.springer.com/10.1007/s10508-023-02761-w","Data Analysis"
"White R","Gender dysphoria in twins: a register-based population study","Scientific Reports",2022,"doi.org/10.1038/s41598-022-17749-0","Data Analysis"
"Johal L","Maturation of the adolescent brain","Neuropsychiatric Disease and Treatment",2013,"www.dovepress.com/maturation-of-the-adolescent-brain-peer-reviewed-fulltext-article-NDT","Review"
"MontagnerMoraes S","Strength, power and aerobic capacity of transgender athletes: a cross-sectional study","British Journal of Sports Medicine",2024,"bjsm.bmj.com/lookup/doi/10.1136/bjsports-2023-108029","Data Analysis"
"Bartick M C","Effective Communication About Pregnancy, Birth, Lactation, Breastfeeding and Newborn Care: The Importance of Sexed Language","Frontiers in Global Women's Health",2022,"www.frontiersin.org/articles/10.3389/fgwh.2022.818856/full","Editorial"
"Meads C","Sex, gender, and medical data","BMJ",2021,"www.researchgate.net/publication/350208937_Sex_gender_and_medical_data","Editorial"
"Bangasser D A","Considering Sex as a Biological Variable in Basic and Clinical Studies: An Endocrine Society Scientific Statement","Endocrine Reviews",2021,"academic.oup.com/edrv/advance-article/doi/10.1210/endrev/bnaa034/6159361","Position Statement"
"Akalın A","Body composition and cardiometabolic changes during gender-affirming hormone therapy: 12-month longitudinal study","Endocrine Research",2026,"doi.org/10.1080/07435800.2026.2692682","Data Analysis"
